Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA,label
2018/10/5,2018,10,5,4,39,2018-39,164.15,165.74,163.65,164.24,1538700,160.32,-0.009588108,160.6057143,156.0534,green
2018/10/8,2018,10,8,0,40,2018-40,163.49,164.91,162.87,164.31,1109000,160.39,0.000426302,161.0342857,156.0284,red
2018/10/9,2018,10,9,1,40,2018-40,162.9,163.74,161,161.18,1510400,157.33,-0.019049456,160.8114286,155.9634,red
2018/10/10,2018,10,10,2,40,2018-40,161.21,161.6,157.94,158.01,2222200,154.24,-0.019667278,160.24,155.7946,red
2018/10/11,2018,10,11,3,40,2018-40,157.93,158.21,153.77,154.26,1977000,150.58,-0.023732758,159.3871429,155.5918,red
2018/10/12,2018,10,12,4,40,2018-40,156.82,157.78,155.33,156.24,1840700,152.51,0.012835468,158.8464286,155.458,red
2018/10/15,2018,10,15,0,41,2018-41,156.61,159.29,155.99,156.79,2161500,153.05,0.003520107,158.4092857,155.3132,green
2018/10/16,2018,10,16,1,41,2018-41,157.72,160.84,157.22,160.67,1297500,156.83,0.024746539,158.2757143,155.366,green
2018/10/17,2018,10,17,2,41,2018-41,161.7,162.25,159.09,159.79,1540700,155.97,-0.005477095,158.0985714,155.4198,green
2018/10/18,2018,10,18,3,41,2018-41,167.08,167.52,159.48,161.36,3739600,157.51,0.009825412,158.1428571,155.504,green
2018/10/19,2018,10,19,4,41,2018-41,161.46,163.06,159.29,159.85,3012000,156.03,-0.009357709,157.5135714,155.5566,green
2018/10/22,2018,10,22,0,42,2018-42,165.23,168.95,160.52,166.88,7591100,162.9,0.043978645,157.3642857,155.7928,green
2018/10/23,2018,10,23,1,42,2018-42,164.84,165.94,161.6,164.17,4959200,160.25,-0.016239301,157.1271429,155.985,green
2018/10/24,2018,10,24,2,42,2018-42,161.74,164,160.78,161.23,5610900,157.38,-0.017908319,156.8064286,156.1,green
2018/10/25,2018,10,25,3,42,2018-42,162.76,166.36,162.43,165,5105400,161.06,0.023382789,156.8592857,156.3024,green
2018/10/26,2018,10,26,4,42,2018-42,163.71,167.11,163.44,164.94,35352000,161,-0.000363516,156.9028571,156.5056,green
2018/10/29,2018,10,29,0,43,2018-43,166.22,169.16,164.59,165.49,14032500,161.54,0.003334528,157.2035714,156.6902,red
2018/10/30,2018,10,30,1,43,2018-43,166.11,167.67,162.74,164.5,57375600,160.57,-0.005982373,157.6557143,156.8114,red
2018/10/31,2018,10,31,2,43,2018-43,161.74,165.6,161.31,165.47,18032200,161.52,0.005896647,158.4371429,156.951,red
2018/11/1,2018,11,1,3,43,2018-43,164.66,165.48,161.94,162,11423500,158.13,-0.020970457,158.8385714,157.0872,red
2018/11/2,2018,11,2,4,43,2018-43,160.66,161.81,155.44,159.84,6835100,156.02,-0.013333441,159.0507143,157.1836,red
2018/11/5,2018,11,5,0,44,2018-44,157.65,162.19,157.45,161.99,4477400,158.12,0.013451034,159.1428571,157.2964,green
2018/11/6,2018,11,6,1,44,2018-44,161.83,166.35,161.67,165.53,2510600,161.58,0.021853183,159.5435714,157.4424,green
2018/11/7,2018,11,7,2,44,2018-44,164.54,166.85,164.23,166.85,7626300,162.87,0.007974382,159.9264286,157.6084,green
2018/11/8,2018,11,8,3,44,2018-44,164.5,166.15,162.93,165.3,4010000,161.35,-0.009289742,160.3064286,157.7216,green
2018/11/9,2018,11,9,4,44,2018-44,162.99,163.94,160.55,161.52,3249100,157.66,-0.022867581,159.9321429,157.7924,green
2018/11/12,2018,11,12,0,45,2018-45,160.06,162.3,158.91,159.22,1990800,155.42,-0.014239641,159.5871429,157.8126,red
2018/11/13,2018,11,13,1,45,2018-45,160.22,160.33,156.53,156.93,2507100,153.18,-0.014382798,159.2871429,157.8272,red
2018/11/14,2018,11,14,2,45,2018-45,158.19,158.24,153,153.36,2338700,149.7,-0.022748868,158.4757143,157.773,red
2018/11/15,2018,11,15,3,45,2018-45,156.09,156.3,152.56,155.18,2759400,151.47,0.011867333,157.795,157.7438,red
2018/11/16,2018,11,16,4,45,2018-45,153.74,158.46,153.4,158.08,2726800,154.31,0.01868802,157.2785714,157.8034,red
2018/11/19,2018,11,19,0,46,2018-46,158.61,161.45,158.44,159.5,2464700,155.69,0.008982878,156.93,157.8742,red
2018/11/20,2018,11,20,1,46,2018-46,157.49,160.19,157.24,157.87,2151600,154.1,-0.010219425,156.4,157.8896,red
2018/11/21,2018,11,21,2,46,2018-46,159.24,161.24,158.55,159.06,2070900,155.26,0.00753787,156.195,157.9376,red
2018/11/23,2018,11,23,4,46,2018-46,156.86,158.01,156.02,156.19,963600,152.46,-0.018043461,155.9407143,157.879,red
2018/11/26,2018,11,26,0,47,2018-47,157.04,158.22,156.88,157.32,2678200,153.56,0.007234728,155.615,157.8854,green
2018/11/27,2018,11,27,1,47,2018-47,155.66,156.65,151.52,152.55,2525900,148.91,-0.030320287,154.71,157.7786,green
2018/11/28,2018,11,28,2,47,2018-47,153.53,156.48,151.7,156.29,1808800,152.56,0.024516404,153.9735714,157.742,green
2018/11/29,2018,11,29,3,47,2018-47,155.51,159.84,155.35,159.31,2901300,155.51,0.019323141,153.5564286,157.6432,green
2018/11/30,2018,11,30,4,47,2018-47,157.02,160.61,156.94,159.05,3944100,155.25,-0.001632085,153.3842857,157.5034,green
2018/12/3,2018,12,3,0,48,2018-48,162.3,164.42,159.92,164.35,3177200,160.43,0.033322899,153.7421429,157.4616,red
2018/12/4,2018,12,4,1,48,2018-48,163.95,164.29,160.45,160.83,2746100,156.99,-0.021417634,154.0142857,157.3998,red
2018/12/6,2018,12,6,3,48,2018-48,158.53,159.02,153,155.98,4785400,152.26,-0.030156111,154.1971429,157.2616,red
2018/12/7,2018,12,7,4,48,2018-48,156.22,158.52,152.36,152.72,2518700,149.07,-0.020900191,154.0257143,157.069,red
2018/12/10,2018,12,10,0,49,2018-49,156.03,157.54,154.11,156.91,2540400,153.16,0.027435884,153.9435714,156.9632,green
2018/12/11,2018,12,11,1,49,2018-49,161.16,162.46,156.65,157.46,2552900,153.7,0.003505176,153.8014286,156.8994,green
2018/12/12,2018,12,12,2,49,2018-49,161.65,162.14,159.46,160.55,2402600,156.72,0.019624119,153.9885714,156.737,green
2018/12/13,2018,12,13,3,49,2018-49,160.4,161.3,157.3,158.09,2456700,154.32,-0.015322402,153.9214286,156.5236,green
2018/12/14,2018,12,14,4,49,2018-49,157.38,158.47,156.05,156.93,2360800,153.18,-0.007337727,153.9728571,156.3158,green
2018/12/17,2018,12,17,0,50,2018-50,157.19,159.44,155.59,157.33,3148600,154.39,0.007847491,154.0321429,156.1662,red
2018/12/18,2018,12,18,1,50,2018-50,158.42,158.89,156.63,157.61,2147000,154.66,0.001779638,154.4428571,156.053,red
2018/12/19,2018,12,19,2,50,2018-50,157.4,158.5,155.21,155.83,2618700,152.91,-0.011293641,154.4678571,155.9034,red
2018/12/20,2018,12,20,3,50,2018-50,154.48,156.4,152.44,154.05,3398900,151.17,-0.011422744,154.1578571,155.7802,red
2018/12/21,2018,12,21,4,50,2018-50,156.01,157.48,153.03,153.11,5452000,150.24,-0.006101939,153.8,155.7002,red
2018/12/24,2018,12,24,0,51,2018-51,152.7,153.41,148.13,148.13,2086800,145.36,-0.032525695,152.7235714,155.5958,green
2018/12/26,2018,12,26,2,51,2018-51,148.75,152.77,145.95,152.74,2591500,149.88,0.031121528,152.2157143,155.5432,green
2018/12/27,2018,12,27,3,51,2018-51,152.05,156.41,150.6,156.41,2867000,153.48,0.024027633,152.3028571,155.5518,green
2018/12/28,2018,12,28,4,51,2018-51,157.1,158.56,155.04,156.31,1586100,153.38,-0.000639451,152.6107143,155.4828,green
2018/12/31,2018,12,31,0,52,2018-52,156.23,157,153.94,156.04,1853900,153.12,-0.001727385,152.6078571,155.4258,red
2019/1/2,2019,1,2,2,0,2019-00,153.53,158.16,153.52,157.2,1716400,154.26,0.007434111,152.6478571,155.3608,green
2019/1/3,2019,1,3,3,0,2019-00,154.06,154.35,151.93,152.29,1775500,149.44,-0.03123422,152.1278571,155.229,green
2019/1/4,2019,1,4,4,0,2019-00,153.83,157.62,153.36,156.63,1801300,153.7,0.028498422,152.0835714,155.045,green
