,Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA,label,mean_return,volatility
442,2019/10/4,2019,10,4,4,39,2019-39,185.66,187.38,184.22,186.18,1498100,185.39,0.008340539000000001,190.0185714,188.5432,red,-0.5538,1.816473424
447,2019/10/11,2019,10,11,4,40,2019-40,192.68,196.54,192.35,194.25,1609600,193.43,0.015792509,188.51,187.9698,green,0.8658,1.830132427
452,2019/10/18,2019,10,18,4,41,2019-41,196.88,197.24,194.94,195.79,1022800,194.96,-0.004322602,189.6228571,188.5858,green,0.1616,0.9323139490000001
457,2019/10/25,2019,10,25,4,42,2019-42,194.39,195.45,194.04,195.0,1025000,194.17,0.010415015,192.1878571,189.048,red,-0.0748,1.219353189
462,2019/11/1,2019,11,1,4,43,2019-43,198.88,200.05,198.38,198.8,812200,197.96,0.002268712,195.2264286,190.1466,green,0.3884,0.654813943
467,2019/11/8,2019,11,8,4,44,2019-44,203.6,204.45,202.31,203.0,966000,202.14,0.0019743210000000002,197.24428569999998,191.8506,green,0.4198,0.470354335
472,2019/11/15,2019,11,15,4,45,2019-45,210.0,210.33,208.33,209.71,1772000,208.82,0.005128527,201.8164286,193.7204,green,0.6548,0.765033463
477,2019/11/22,2019,11,22,4,46,2019-46,205.41,206.09,204.66,204.91,936700,204.04,-0.006545124,204.4957143,195.5452,red,-0.4616,0.337411914
481,2019/11/29,2019,11,29,4,47,2019-47,205.39,206.82,205.16,206.21,847600,205.34,0.00101948,205.6528571,196.6534,green,0.159,0.40348234200000005
486,2019/12/6,2019,12,6,4,48,2019-48,205.6,205.99,204.6,205.53,912300,205.53,0.00873619,204.5721429,197.7552,red,0.026000000000000002,1.310499523
491,2019/12/13,2019,12,13,4,49,2019-49,211.11,211.64,208.38,209.05,1527900,209.05,-0.004144413,204.88571430000002,199.6614,green,0.3454,1.1240201509999999
496,2019/12/20,2019,12,20,4,50,2019-50,213.13,213.94,211.02,212.11,3034100,212.11,0.012941771000000001,206.9628571,201.9816,red,0.2934,0.733946047
500,2019/12/27,2019,12,27,4,51,2019-51,214.15,214.26,212.09,212.26,825500,212.26,-0.002303199,209.415,203.4396,red,0.01825,0.349935589
