High,Low,Open,Close,Volume,Adj Close,Return,Date,Week_Number,Year,mean_return,volatility
158.3899994,156.8800049,157.7799988,158.2100067,1422500,155.2486877,-0.397,2019/1/28,4,2019,0.8604,1.004674972
162,159.3500061,159.5700073,161.2200012,1558300,158.2023468,1.903,2019/1/29,4,2019,0.8604,1.004674972
163.75,161.1600037,161.7899933,162.9199982,1113500,159.8705292,1.054,2019/1/30,4,2019,0.8604,1.004674972
163.4199982,159.6300049,161.1799927,163.0099945,1645900,159.9588318,0.055,2019/1/31,4,2019,0.8604,1.004674972
165.8999939,163.4600067,163.9100037,165.7599945,1324300,162.6573486,1.687,2019/2/1,4,2019,0.8604,1.004674972
165.6900024,163.2200012,165.4799957,163.5,2106500,160.4396667,-1.363,2019/2/4,5,2019,-0.549,1.116706094
165.9900055,163.8000031,165.2599945,164.9900055,2358600,161.9017792,0.911,2019/2/5,5,2019,-0.549,1.116706094
164.6199951,163.0399933,163.9499969,163.4199982,1124800,160.3611603,-0.952,2019/2/6,5,2019,-0.549,1.116706094
162.2400055,159.4299927,161.75,160.6900024,1361000,157.682251,-1.671,2019/2/7,5,2019,-0.549,1.116706094
161.6100006,159.0800018,160.0700073,161.2200012,1557900,158.2023468,0.33,2019/2/8,5,2019,-0.549,1.116706094
161.6199951,160.6300049,161.0599976,161.3500061,1128400,158.3299255,0.081,2019/2/11,6,2019,0.904,1.758890417
167.5500031,163.8899994,164.1300049,167.5299988,1772000,164.3942261,3.83,2019/2/12,6,2019,0.904,1.758890417
168.4900055,166.7899933,167.0899963,167.3800049,1599300,164.2470398,-0.09,2019/2/13,6,2019,0.904,1.758890417
167.6000061,165.9299927,166.6499939,166.5,1104100,163.3835144,-0.526,2019/2/14,6,2019,0.904,1.758890417
170.7100067,167.7700043,170.5399933,168.5399933,2573600,165.3853149,1.225,2019/2/15,6,2019,0.904,1.758890417
168.7799988,167.5599976,168,167.8600006,2221200,164.7180634,-0.403,2019/2/19,7,2019,0.7305,0.828642464
171.0099945,167.5899963,167.5899963,170.3000031,2574800,167.1123962,1.454,2019/2/20,7,2019,0.7305,0.828642464
172.3000031,170.5399933,170.9799957,171.3999939,1736500,168.1917877,0.646,2019/2/21,7,2019,0.7305,0.828642464
173.7400055,171.5500031,172.2400055,173.5,1075700,170.2525024,1.225,2019/2/22,7,2019,0.7305,0.828642464
175.0099945,173.3899994,173.8899994,174.6199951,1526800,171.3515167,0.646,2019/2/25,8,2019,-0.5898,1.355348184
174.8899994,173.4499969,173.7899933,173.9100037,1739200,170.6548157,-0.407,2019/2/26,8,2019,-0.5898,1.355348184
175.1199951,172.6300049,173.3999939,174.5,1451800,171.2337646,0.339,2019/2/27,8,2019,-0.5898,1.355348184
174.9299927,173.1000061,174.8099976,173.2400055,1698300,169.997345,-0.722,2019/2/28,8,2019,-0.5898,1.355348184
176.7299957,167.8600006,176.3600006,168.3800049,3033500,165.2283325,-2.805,2019/3/1,8,2019,-0.5898,1.355348184
168.9100037,166.0700073,168.3500061,168.6999969,1738100,165.5423279,0.19,2019/3/4,9,2019,0.2334,0.629478197
169.9400024,168.3500061,168.3500061,168.4400024,1205900,165.2872009,-0.154,2019/3/5,9,2019,0.2334,0.629478197
169.6799927,168.2100067,168.8399963,169.1300049,986800,165.9642792,0.41,2019/3/6,9,2019,0.2334,0.629478197
169.3600006,166.8200073,169.3600006,167.4700012,1450100,165.1899872,-0.467,2019/3/7,9,2019,0.2334,0.629478197
169.5200043,167.7599945,168.75,169.4600067,1558400,167.1528931,1.188,2019/3/8,9,2019,0.2334,0.629478197
171.3099976,169.4199982,169.4799957,171.2799988,1188800,168.9480896,1.074,2019/3/11,10,2019,0.8106,0.572854519
172.8999939,171.3899994,171.7799988,172.3200073,1309200,169.9739532,0.607,2019/3/12,10,2019,0.8106,0.572854519
175.5099945,173.6399994,174.0099945,174.3899994,1538500,172.0157623,1.201,2019/3/13,10,2019,0.8106,0.572854519
174.4400024,173.1699982,174.25,174.2100067,1033200,171.8382263,-0.103,2019/3/14,10,2019,0.8106,0.572854519
176.9600067,174.4299927,176.2799988,176.4299927,3661400,174.0279694,1.274,2019/3/15,10,2019,0.8106,0.572854519
174.9499969,173.4299927,174.75,174.5500031,1220400,172.173584,-1.066,2019/3/18,11,2019,-0.7448,1.69314137
175.7899933,172.6199951,175.3500061,173.5800018,1251600,171.2167816,-0.556,2019/3/19,11,2019,-0.7448,1.69314137
